index,true_label,Oval,Rectangle,Round,Square
0,Square,0.08246376365423203,0.08249956369400024,0.5950329899787903,0.24000373482704163
1,Rectangle,0.2248767912387848,0.6623905897140503,0.03329695016145706,0.07943567633628845
2,Square,0.12469253689050674,0.0195159874856472,0.16330783069133759,0.6924837231636047
3,Round,0.26975005865097046,0.024441994726657867,0.3499833345413208,0.35582461953163147
4,Square,0.34618616104125977,0.3628617227077484,0.12629738450050354,0.16465476155281067
5,Rectangle,0.5196229219436646,0.2938179671764374,0.1271548718214035,0.05940421670675278
6,Square,0.14092475175857544,0.06498798727989197,0.33038926124572754,0.46369799971580505
7,Rectangle,0.22986307740211487,0.7342279553413391,0.014316183514893055,0.021592751145362854
8,Oval,0.22882691025733948,0.6285427212715149,0.06685939431190491,0.07577098906040192
9,Round,0.42317214608192444,0.08211158961057663,0.31537309288978577,0.17934319376945496
10,Round,0.025900881737470627,0.0007598461816087365,0.9387602806091309,0.03457891196012497
11,Round,0.3419185280799866,0.44583970308303833,0.14442257583141327,0.06781923025846481
12,Square,0.12006457149982452,0.03926889970898628,0.33465540409088135,0.5060111284255981
13,Oval,0.3331151604652405,0.0989375039935112,0.5058383941650391,0.06210903078317642
14,Rectangle,0.10478715598583221,0.7764970660209656,0.05705355480313301,0.06166214495897293
15,Square,0.2580675482749939,0.14375577867031097,0.058094967156648636,0.5400816798210144
16,Square,0.15892668068408966,0.4892626404762268,0.1912316381931305,0.16057908535003662
17,Square,0.45600900053977966,0.12367776781320572,0.21264119446277618,0.20767202973365784
18,Round,0.45526280999183655,0.036206670105457306,0.36266082525253296,0.14586970210075378
19,Oval,0.34198564291000366,0.3041125535964966,0.07182037085294724,0.2820814251899719
20,Square,0.2368282973766327,0.3183969259262085,0.15459516644477844,0.29017964005470276
21,Square,0.09567254036664963,0.008529814891517162,0.21824710071086884,0.6775504946708679
22,Oval,0.40617045760154724,0.009230481460690498,0.5435100793838501,0.04108893871307373
23,Square,0.2808416485786438,0.047607533633708954,0.21113014221191406,0.460420697927475
24,Round,0.41845089197158813,0.1563388854265213,0.2675996422767639,0.15761062502861023
25,Rectangle,0.10484325885772705,0.7858088612556458,0.06860814243555069,0.04073977470397949
26,Round,0.09054447710514069,0.02900123968720436,0.7544322609901428,0.12602202594280243
27,Rectangle,0.3026847243309021,0.6485339999198914,0.02219480648636818,0.026586467400193214
28,Square,0.10659197717905045,0.6445778012275696,0.15194205939769745,0.09688816964626312
29,Square,0.37805572152137756,0.08003495633602142,0.22368745505809784,0.3182218372821808
30,Oval,0.509803295135498,0.0980391651391983,0.3358767628669739,0.05628080293536186
31,Square,0.168783500790596,0.12195132672786713,0.0592120885848999,0.6500530242919922
32,Oval,0.23440150916576385,0.19059650599956512,0.15096105635166168,0.4240409731864929
33,Oval,0.5662058591842651,0.05245165154337883,0.37565308809280396,0.0056894198060035706
34,Rectangle,0.4072710871696472,0.19470000267028809,0.2639996409416199,0.1340292990207672
35,Square,0.4415358006954193,0.054558563977479935,0.2064731866121292,0.29743248224258423
36,Rectangle,0.4909943640232086,0.2445397824048996,0.13734175264835358,0.1271241009235382
37,Rectangle,0.33726805448532104,0.25255170464515686,0.10872874408960342,0.30145153403282166
38,Rectangle,0.21932263672351837,0.2733035385608673,0.13151633739471436,0.37585750222206116
39,Oval,0.4977737069129944,0.06787775456905365,0.3398265838623047,0.09452192485332489
