gender,face_shape,file,face_width_ratio,jaw_width_ratio,face_height_ratio,midface_ratio
men,Oval,0_ (1).jpg,1.5803370889891115,1.5573782117211126,1.94264752396,0.7147575280697034
men,Oval,0_ (10).jpg,1.5863869130412125,1.5374749707054949,1.1360006708487582,0.644980619863884
men,Oval,0_ (100).jpg,1.5541507698368955,1.4683693667756312,2.148555233816478,0.8915663244811937
men,Oval,0_ (102).jpg,1.5901850598562937,1.5901850598562937,2.1334811466892996,0.6429802297583683
men,Oval,0_ (103).jpg,1.3811148272098395,1.2924030628468406,1.7499999999999998,0.8667729441944788
men,Oval,0_ (104).jpg,1.4433992188778182,1.442551324217489,2.15129233893707,0.7154082610758505
men,Oval,0_ (105).jpg,1.5887215155845034,1.6031547516495732,2.0689177438811868,0.6650254756388894
men,Oval,0_ (106).jpg,1.6167932781573588,1.5827590068309916,2.1478981200617007,0.6898835800250174
men,Oval,0_ (107).jpg,1.5909182294152733,1.5065104830304614,1.3515765488837719,0.9400110050713089
men,Oval,0_ (108).jpg,1.7091053843313884,1.6674763037078915,1.7724084377710447,0.6574953711868525
men,Oval,0_ (109).jpg,1.3480488258847274,1.2880349910690128,2.8572038175963685,0.6325431479559682
men,Oval,0_ (11).jpg,1.5723360919724367,1.452812987822147,1.664102876984619,0.8132409839428658
men,Oval,0_ (110).jpg,1.5172884570612102,1.4673660593230557,2.066593866940673,0.7756171832724637
men,Oval,0_ (111).jpg,1.5184933051575233,1.4630143399516322,2.1765405503052975,0.7854466903238928
men,Oval,0_ (112).jpg,1.6072420604303281,1.5182772527857125,2.017936155216664,0.7558822822975534
men,Oval,0_ (113).jpg,1.549705045627717,1.5211101261438253,1.8603366171310642,0.8065800166495483
men,Oval,0_ (115).jpg,1.5231018160619314,1.457623023746733,1.998189529074226,0.7348242609095835
men,Oval,0_ (116).jpg,1.5687323698268754,1.517113862737779,1.9824639838471503,0.7608695652173914
men,Oval,0_ (117).jpg,1.625181451574654,1.6039538998357354,2.401102422148749,0.6600240342496372
men,Oval,0_ (119).jpg,1.5747063813241142,1.5245236607723873,2.024367483976449,0.896551724137931
men,Oval,0_ (12).jpg,1.4070137213087128,1.3527402338542414,2.2390299233132853,0.6896130065266729
men,Oval,0_ (120).jpg,1.5106191367222115,1.4692202776065066,2.1691881697678563,0.7594039843291462
men,Oval,0_ (121).jpg,1.586345899708366,1.5688270857436306,2.0008913318425106,0.7230627232559521
men,Oval,0_ (123).jpg,1.6511859660073493,1.5950758770983329,2.1122354181147664,0.6967266687890032
men,Oval,0_ (124).jpg,1.5005040927672968,1.4139079516591273,2.0304509847279952,0.7133605320810541
men,Oval,0_ (126).jpg,1.5121951219512195,1.4392310723836028,1.975760307422306,0.75
men,Oval,0_ (127).jpg,1.5395864410599194,1.4635025666568802,2.6084773916349406,0.5898745685480741
men,Oval,0_ (128).jpg,1.5427062887697522,1.4075115719648275,1.931565571949152,0.9710184378306211
men,Oval,0_ (129).jpg,1.6636069560698614,1.5836846657078771,1.940082426554676,0.8545976121261312
men,Oval,0_ (13).jpg,1.6584457368093393,1.6323829042833509,1.8965497927368375,0.6864765108872991
men,Oval,0_ (130).jpg,1.6166670182791232,1.553697541260708,2.186020878696707,0.8057677805932939
men,Oval,0_ (131).jpg,1.5429891844096169,1.509114563651914,2.05398143790826,0.8079853938988206
men,Oval,0_ (133).jpg,1.5828062099453302,1.5375335374109864,2.0648910169970303,0.7363704090404127
men,Oval,0_ (134).jpg,1.3737652601361552,1.2376216372838553,1.5182297325515146,0.9314928656652447
men,Oval,0_ (135).jpg,1.6182005860547237,1.5583509081108413,1.7578611228937928,1.0713406090674165
men,Oval,0_ (136).jpg,1.5836656697489873,1.5460683989681345,2.030986163953887,0.826513762740827
men,Oval,0_ (137).jpg,1.602799275405807,1.6238586255274186,2.0761369963434992,0.7376983767283376
men,Oval,0_ (139).jpg,1.6456081035194146,1.5829898398195108,2.0829855096485046,0.8159313357364566
men,Oval,0_ (14).jpg,1.6452372000278515,1.545105135550304,1.569321578317503,0.9325930139829108
men,Oval,0_ (140).jpg,1.4130434782608696,1.3914741744178485,1.67405420071117,0.583108412047419
men,Oval,0_ (141).jpg,1.4168619965420801,1.400202310133422,1.9170524908587094,0.904818702200994
men,Oval,0_ (143).jpg,1.621695162884743,1.5798301206613719,2.0544168983089492,0.6985613702374245
men,Oval,0_ (145).jpg,1.5615020666706407,1.4912280701754386,2.123096978891687,0.7340826512575671
men,Oval,0_ (146).jpg,1.500684600764822,1.4351381926320126,2.420570801280763,0.8090573412544949
men,Oval,0_ (148).jpg,1.6020251300476498,1.573922275619208,2.0255652025544957,0.7147223415269087
men,Oval,0_ (15).jpg,1.5540612877113997,1.52925172623972,1.89811390565433,0.7193877186221468
men,Oval,0_ (150).jpg,1.5614884057888199,1.4674710819536718,1.5947538842338425,1.0265154952219588
men,Oval,0_ (151).jpg,1.57889271586194,1.57889271586194,1.8990700031782948,0.7661503125169781
men,Oval,0_ (153).jpg,1.5436608255400832,1.5637608770770046,2.0640366360297797,0.7426502620781237
men,Oval,0_ (154).jpg,1.5630929948619319,1.5427396724260969,2.2835048754873974,0.7389558439133294
men,Oval,0_ (155).jpg,1.5163963843863337,1.4838790445889414,2.2834386658987382,0.7201337118721843
men,Oval,0_ (157).jpg,1.5902882310169149,1.5251782605620676,2.1810206682406412,0.727379746377038
men,Oval,0_ (158).jpg,1.65943546028212,1.6029824934723997,2.1881025480592267,0.8401860486826882
men,Oval,0_ (16).jpg,1.5065389833394351,1.4061021472491653,1.9803149057935439,0.7443111555320363
men,Oval,0_ (161).jpg,1.605173731820351,1.5275995041452028,2.136429141308904,0.7246617486180937
men,Oval,0_ (162).jpg,1.4212026854642275,1.4077312659286823,3.064599205880424,0.8088623611177236
men,Oval,0_ (163).jpg,1.6608985733019521,1.5296480016165672,1.528027243421127,1.0845676795304475
men,Oval,0_ (165).jpg,1.618337540021433,1.5672885639291034,2.0564173844374087,0.7803243548304318
men,Oval,0_ (166).jpg,1.5593391105011318,1.5294544024686612,2.1677709217605927,0.7391831657832311
men,Oval,0_ (168).jpg,1.5902882310169149,1.5251782605620676,2.1810206682406412,0.727379746377038
men,Oval,0_ (17).jpg,1.5184529896790633,1.4543128641168486,1.8664859442660793,0.7797995505395445
men,Oval,0_ (170).jpg,1.6328231911902136,1.5104410415118594,1.6558628461305818,0.9019640748938119
men,Oval,0_ (171).jpg,1.5382791895291987,1.3911138764276745,1.6289502306775847,1.0396423056331956
men,Oval,0_ (173).jpg,1.641294506251087,1.5782023495895576,2.203346620058905,0.7278732217454474
men,Oval,0_ (174).jpg,1.675522694831273,1.675522694831273,1.675577178944606,0.660377358490566
men,Oval,0_ (175).jpg,1.624170876011129,1.5583479315807716,3.183267135377176,0.6276083483065169
